c,p,x
http://purl.obolibrary.org/obo/BFO_0000019,http://purl.obolibrary.org/obo/IAO_0000602,(forall (x) (if (exists (t) (and (existsAt x t) (Quality x))) (forall (t_1) (if (existsAt x t_1) (Quality x))))) // axiom label in BFO2 CLIF: [105-001] 
http://purl.obolibrary.org/obo/BFO_0000020,http://purl.obolibrary.org/obo/IAO_0000602,(iff (SpecificallyDependentContinuant a) (and (Continuant a) (forall (t) (if (existsAt a t) (exists (b) (and (IndependentContinuant b) (not (SpatialRegion b)) (specificallyDependsOnAt a b t))))))) // axiom label in BFO2 CLIF: [050-003] 
http://purl.obolibrary.org/obo/BFO_0000003,http://purl.obolibrary.org/obo/IAO_0000602,(forall (x) (if (Occurrent x) (exists (r) (and (SpatioTemporalRegion r) (occupiesSpatioTemporalRegion x r))))) // axiom label in BFO2 CLIF: [108-001] 
http://purl.obolibrary.org/obo/BFO_0000003,http://purl.obolibrary.org/obo/IAO_0000602,(forall (x) (iff (Occurrent x) (and (Entity x) (exists (y) (temporalPartOf y x))))) // axiom label in BFO2 CLIF: [079-001] 
http://purl.obolibrary.org/obo/IAO_0000578,http://purl.obolibrary.org/obo/IAO_0000116,"Alan, IAO call 20101124: potentially the CRID denotes the instance it was associated with during creation. 
"
http://purl.obolibrary.org/obo/IAO_0000579,http://purl.obolibrary.org/obo/IAO_0000112,PubMed is a CRID registry. It has a dataset of PubMed identifiers associated with journal articles. 
http://purl.obolibrary.org/obo/RO_0002093,http://www.w3.org/2000/01/rdf-schema#comment,X ends_during Y iff: ((start(Y) before_or_simultaneous_with end(X)) AND end(X) before_or_simultaneous_with end(Y). 
http://purl.obolibrary.org/obo/BFO_0000031,http://purl.obolibrary.org/obo/IAO_0000602,(iff (GenericallyDependentContinuant a) (and (Continuant a) (exists (b t) (genericallyDependsOnAt a b t)))) // axiom label in BFO2 CLIF: [074-001] 
http://purl.obolibrary.org/obo/RO_0001018,http://purl.obolibrary.org/obo/IAO_0000116,"Intended meaning:
domain: material entity
range: spatial region or site (immaterial continuant)
        "
http://purl.obolibrary.org/obo/BFO_0000006,http://purl.obolibrary.org/obo/IAO_0000602,(forall (x y t) (if (and (SpatialRegion x) (continuantPartOfAt y x t)) (SpatialRegion y))) // axiom label in BFO2 CLIF: [036-001] 
http://purl.obolibrary.org/obo/BFO_0000006,http://purl.obolibrary.org/obo/IAO_0000602,(forall (x) (if (SpatialRegion x) (Continuant x))) // axiom label in BFO2 CLIF: [035-001] 
